Name,St.No.,Street Name,City,State,Zip,Municipality,Category,
Long John Silvers / A&amp;W,2220,Lebanon Church Rd,West Mifflin,PA,15122,West Mifflin,Chain Restaurant without Liquor,
LongHorn Steakhouse #5245,410,W Waterfront Dr,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor,
LongHorn Steakhouse #5252,1000,Pittsburgh Mills Boulevard,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor,
LongHorn Steakhouse #5293,200,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
LongHorn Steakhouse #5525,9150,Covenant  Avenue,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor,
Longue Vue Club,400,Longue Vue Dr,Verona,PA,15147,Penn Hills,Restaurant with Liquor,
Longue Vue Pool Snack Shop,400,Long Vue Drive,Verona,PA,15147,Penn Hills,Pool Snack Bar/No Liquor,
Longwood at Oakmont / Stoneridge Clubhouse,500,Cox Comb Hill,Verona,PA,15147,Plum,Adult Food Service,
Loose Moose Saloon,5185,Brownsville Rd,Pittsburgh,PA,15236,Baldwin Boro,Restaurant with Liquor,
Lorenz Cafe,718,Lorenz Avenue,Pittsburgh,PA,15220,Pittsburgh-120,Restaurant with Liquor,
Lorenzo&#39;s Pizza,1410,Mt Royal Blvd,Glenshaw,PA,15116,Shaler,Restaurant without Liquor,
Lori&#39;s Gifts,2775,Mosside Boulevard,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Lori&#39;s Gifts #489,9100,Babcock Boulevard,Pittsburgh,PA,15237,McCandless,Chain Packaged Food Only,
Los Cabos Mexican Restaurant,4108,Penn Avenue,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant without Liquor,
Los Campos,11566,Perry Highway,Wexford,PA,15090,Pine,Retail/Convenience Store,
Lost &amp; Found Soda Fountain,11555,Frankstown  Road,Pittsburgh,PA,15235,Penn Hills,Restaurant without Liquor,
Lost Comrades Post #1768,654,Division St,Wilmerding,PA,15148,Wall,Social Club-Bar Only,
Lot 17,4617,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant with Liquor,
Lotus Noodle Co,1649,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Food Processor,
Lou Magoo&#39;s,401,Lincoln Hwy,North Versailles,PA,15137,North Versailles,Restaurant with Liquor,
Lou&#39;s Little Corner Bar,4924,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor,
Loughlin&#39;s Pub,2373,Saxonburg Boulevard,Cheswick,PA,15024,West Deer,Restaurant with Liquor,
Louis Masco Stands,999,Steen Road / Trader Jacks Flea Market,Presto,PA,15142,Collier,Restaurant without Liquor,
Lounge 7101 2nd Time Around,7101,Frankstown Ave,Pittsburgh,PA,15208,Pittsburgh-113,Restaurant with Liquor,
Lounge on Verona,4343,Verona Road,Verona,PA,15147,Penn Hills,Restaurant with Liquor,
Love &amp; Care Educational Child Care Center,111,Hamilton Ave,Duquesne,PA,15110,Duquesne,Child Food Service,
Love &amp; Learn Children Center,1300,Brinton Rd,Pittsburgh,PA,15221,Braddock Hills,Child Food Service,
Love N Spoonfuls,1800 ,Golden Mile  Highway,Pittsburgh,PA,15239,Plum,Restaurant without Liquor,
Love Yogurt ,229,Atwood  Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor,
Lovedale Valero,2002,Lincoln Boulevard,Elizabeth,PA,15037,Lincoln,Retail/Convenience Store,
Loving Hut,5474,Campbells Run  Road,Pittsburgh,PA,15205,Robinson,Restaurant without Liquor,
Lower Valley Food Bank,325,School Street,Springdale,PA,15144,Springdale Borough,Adult Food Service,
Loyal Order Of Moose #416,2200,Woodstock Ave,Pittsburgh,PA,15218,Swissvale,Social Club-Bar Only,
Loyal Order Of Moose #46,1044,Saxonburg Blvd,Glenshaw,PA,15116,Shaler,Restaurant with Liquor,
Loyal Order Of Moose #696,865,4th Ave,Coraopolis,PA,15108,Coraopolis,Social Club-Bar Only,
Loyal Order Of Moose #86,995,5th Ave,East Mc Keesport,PA,15035,East McKeesport,Social Club-Bar Only,
Loyal Order of Moose #1436 / Hays,808 ,Mifflin  Road,Pittsburgh,PA,15207,Pittsburgh-131,Social Club-Bar Only,
Luca&#39;s,610,Warrendale Road,Gibsonia,PA,15044,Pine,Restaurant without Liquor,
Lucca Ristorante &amp; Wine Bar,317,S Craig  Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor,
Luciano&#39;s Italian Brick Oven,1212,Long Run  Road,Mc Keesport,PA,15131,White Oak,Restaurant with Liquor,
Luciano&#39;s Pizza,1030,Clifton Rd,Bethel Park,PA,15102,Bethel Park,Restaurant with Liquor,
Luciano&#39;s Pizza &amp; Sixpack,1411,Duncan Ave,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor,
Lucky Bucks,125,Virginia Ave,Pittsburgh,PA,15211,Pittsburgh-119,Retail/Convenience Store,
Lucky Chinese Restaurant ,825,Wood Street,Pittsburgh,PA,15221,Wilkinsburg,Restaurant without Liquor,
Lucky Franks,312,Braddock Avenue,Braddock,PA,15104,Braddock,Restaurant with Liquor,
Lucky Store,5150,Butler Avenue,Pittsburgh,PA,15201,Pittsburgh-110,Packaged Food Only,
Luigi&#39;s Pizzeria &amp; Restaurant,531,Lincoln Avenue,Pittsburgh,PA,15202,Bellevue,Restaurant without Liquor,
Luke &amp; Mike&#39;s Front Porch,235,Commercial Avenue,Pittsburgh,PA,15215,Aspinwall,Restaurant without Liquor,
Luke Wholey&#39;s Wild Alaska Grill,2106,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Lula,515,Broad Street,Sewickley,PA,15143,Sewickley,Restaurant with Liquor,
Lulu&#39;s Noodles / Yumwok,400,Craig  Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor,
Luma Restaurant,186,Castle Shannon Blvd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant with Liquor,
Lupi&#39;s Famous Pizza,2311,Babcock Blvd,Pittsburgh,PA,15237,Ross,Restaurant without Liquor,
Lux Artisan Chocolates,27,Brilliant Avenue,Pittsburgh,PA,15215,Aspinwall,Food Processor,
Lviv European Kitchen ,940,5th Avenue,Coraopolis,PA,15108,Coraopolis,Restaurant without Liquor,
Lydiah&#39;s Coffee House,200,Grant Street,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant without Liquor,
Lynn &amp; T&#39;s Place,200,Loews Drive,North Versailles,PA,15137,North Versailles,Retail/Convenience Store,
Lynn&#39;s Cafe &amp; Quality Catering,800,Broadway Ave,Mc Kees Rocks,PA,15136,Stowe,Restaurant without Liquor,
Lynns Laundromat,949,Airbrake Ave,Turtle Creek,PA,15145,Turtle Creek,Packaged Food Only,
Lytle Cafe,5040,Lytle St,Pittsburgh,PA,15207,Pittsburgh-115,Restaurant with Liquor,
M &amp; J Bistro,2017,Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
M Cibrone &amp; Sons Bakery,1231,Grove  Road,Pittsburgh,PA,15234,Castle Shannon,Food Processor,
M Maskas &amp; Sons,142,7th Avenue,Tarentum,PA,15084,Tarentum,Warehouse,
MJ&#39;s Steel City Saloon,682,Cliff Mine Road,Coraopolis,PA,15108,North Fayette,Restaurant with Liquor,
MUSA&#39;S  Little Lambs Early Learning Ctr,1705,Maple St,Homestead,PA,15120,Homestead,Child Food Service,
MaMa C&#39;s Pizza,10718,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,Restaurant without Liquor,
Mac &amp; Gold Commisary,100,Hafner Avenue,Pittsburgh,PA,15223,Etna,Commissary,
Mac &amp; Gold Truck (ZDW 5497),100,Hafner Avenue,Pittsburgh,PA,15223,Etna,Mobile,
Macy&#39;s,3000,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only,
Macy&#39;s,1000,Ross Park Mall Dr,Pittsburgh,PA,15237,Ross,Chain Packaged Food Only,
Macy&#39;s,400,Monroeville Mall,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Macy&#39;s,113,Pittsburgh Mills Circle,Tarentum,PA,15084,Frazer,Chain Packaged Food Only,
Macy&#39;s,162,E Bridge St,Homestead,PA,15120,Homestead,Chain Packaged Food Only,
Macy&#39;s #46,&nbsp;,South Hills Village,Pittsburgh,PA,15241,Bethel Park,Chain Packaged Food Only,
Mad Mex,4100,Wm Penn Highway,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor,
Mad Mex,2,Robinson Plaza / Suite 100,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Mad Mex,7905,McKnight Road,Pittsburgh,PA,15237,Ross,Chain Restaurant with Liquor,
Mad Mex,220,S Highland    Avenue,Pittsburgh,PA,15206,Pittsburgh-107,Chain Restaurant with Liquor,
Mad Mex,2101,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Restaurant with Liquor,
Mad Mex,370,Atwood  Street,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant with Liquor,
Maddio&#39;s Pizza &amp; Subs,1000,Broadview Boulevard,Brackenridge,PA,15014,Brackenridge,Restaurant without Liquor,
Madison Ave Specialty Cakes,994,Perry Hwy,Pittsburgh,PA,15237,Ross,Bakery,
Madonna del Castello,2021,S Braddock Ave,Pittsburgh,PA,15218,Swissvale,Church Kitchen,
Madonna&#39;s Mediterranean Cuisine,408,Smithfield Street,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant without Liquor,
Magee Rec Ctr After School Program ,745,Greenfield  Avenue,Pittsburgh,PA,15207,Pittsburgh-115,Child Food Service,
Magee Women&#39;s Hospital / Garden View Cafe,300,Halket St,Pittsburgh,PA,15213,Pittsburgh-104,Hospital Gov University (limited),
Magee Women&#39;s Hospital Cafe,300,Halket St,Pittsburgh,PA,15213,Pittsburgh-104,Hospital/Other Institution,
Magee Women&#39;s Hospital Gift Shop,300,Halket St,Pittsburgh,PA,15213,Pittsburgh-104,Packaged Food Only,
Maggie &amp; Stella&#39;s Cards &amp; Gifts,209,Oakland Avenue,Pittsburgh,PA,15213,Pittsburgh-104,University Food Service,
Magnolia Banquet Room,879,Freeport Road,Creighton,PA,15030,East Deer,Banquet Hall,
Mahoneys / Little E&#39;s Restaurant ,949,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Maietta&#39;s Italian Restaurant &amp; Catering,203,Brownsville  Road,Pittsburgh,PA,15210,Mt Oliver,Restaurant without Liquor,
Maiku Sushi,1611,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Main Street Bar &amp; Billards,604,Main St,Pittsburgh,PA,15215,Sharpsburg,Restaurant with Liquor,
Main Street Deli,3510,Main Street,Homestead,PA,15120,Munhall,Restaurant without Liquor,
Maisie&#39;s Pizza,1130,Perry Hwy Suite # 7,Pittsburgh,PA,15237,Ross,Restaurant without Liquor,
Make - A - Cake,99,Rochester Rd,Pittsburgh,PA,15229,Ross,Packaged Food Only,
Maldini&#39;s Taste of Italy,1900,Monongahela Ave,Pittsburgh,PA,15218,Swissvale,Restaurant without Liquor,
Mallet &amp; Co Inc,51,Arch Street Extension,Carnegie,PA,15106,Rosslyn Farms,Food Processor,
Mallorca,2228,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
Mama Lena&#39;s 2,732,Broadway Avenue,Mc Kees Rocks,PA,15136,Stowe,Restaurant without Liquor,
Mama Lucia Restaurant,433,Wood Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Mama Meatballs Pizzeria,623,Brown Avenue,Turtle Creek,PA,15145,Wilkins,Restaurant without Liquor,
Mama Pepino&#39;s,44,Monongahela Ave,Glassport,PA,15045,Glassport,Restaurant with Liquor,
Mama Pepino&#39;s Pizza,2417,O&#39;Neil Blvd,Mc Keesport,PA,15131,White Oak,Chain Restaurant without Liquor,
Mama Pepino&#39;s Pizza,607,William Marks Drive,Homestead,PA,15120,Munhall,Chain Restaurant without Liquor,
Mama Pepino&#39;s Pizza 210,210,Plum Street,Elizabeth,PA,15037,Elizabeth Borough,Chain Restaurant without Liquor,
Mama&#39;s Little Angels Learning Center,2821,Perrysville Ave / First Fl,Pittsburgh,PA,15214,Pittsburgh-126,Child Food Service,
Mambo Italia ,424,Broad Street,Sewickley,PA,15143,Sewickley,Restaurant without Liquor,
Mamma Lucia,11978,Perry Hwy #408-410,Wexford,PA,15090,Pine,Chain Restaurant without Liquor,
Mamma Mia Pizzeria ,511,Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant without Liquor,
Man Beast BBQ Co Mobile - ZHZ-5796,222,3rd Avenue,Carnegie,PA,15106,Carnegie,Mobile,
Manchester Youth Development Ctr,1224-26,Liverpool St,Pittsburgh,PA,15233,Pittsburgh-121,Full Service Kitchen,
Mancini&#39;s  Bread Co,1717,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Bakery,
Mancini&#39;s Bakery,601,Woodward Ave,Mc Kees Rocks,PA,15136,Stowe,Food Processor,
Mancini&#39;s Bread Co,438,Market  Street,Pittsburgh,PA,15222,Pittsburgh-102,Bakery,
Mandi Foods,270,Alpha Drive,Pittsburgh,PA,15238,O&#39;Hara,Warehouse,
Mandy&#39;s Pizza &amp; More,512,Perry Hwy,Pittsburgh,PA,15229,West View,Chain Restaurant without Liquor,
Manny&#39;s Rook Station Cafe,201,Hawthorne Avenue,Carnegie,PA,15106,Greentree,Restaurant with Liquor,
Manor Theatre,1729,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant with Liquor,
Manpasand Spice Corner,2101,Greentree Road,Pittsburgh,PA,15220,Scott,Retail/Convenience Store,
Manpasand Spice Corner,10293,Perry Hwy #204,Wexford,PA,15090,McCandless,Retail/Convenience Store,
Mansions on Fifth Restaurant,5105,5th Avenue,Pittsburgh,PA,15232,Pittsburgh-107,Restaurant with Liquor,
Many More Asian Market,3050,Smallman Street,Pittsburgh,PA,15201,Pittsburgh-106,Retail/Convenience Store,
Maple Creek Inn,1100,Maple Ave,Turtle Creek,PA,15145,Turtle Creek,Restaurant with Liquor,
Maple Crest Golf Course,3892,Logans Ferry Rd,Monroeville,PA,15146,Monroeville,Restaurant with Liquor,
Maplewood Kids,3915,Maplewood St,Mc Keesport,PA,15132,McKeesport,Child Food Service,
Mar-Kee Lounge,655,Baldwin Street,Bridgeville,PA,15017,Bridgeville,Restaurant with Liquor,
Marathon Imperial Tri-State Petroleum #213,150,U.S. Route 30,Oakdale,PA,15071,North Fayette,Chain Retail/Convenience Store,
Marathon McKeesport ,710,5th Avenue,Mc Keesport,PA,15132,McKeesport,Chain Retail/Convenience Store,
Marathon Tri-State Petroleum #201,956,Greentree Road,Pittsburgh,PA,15220,Greentree,Chain Retail/Convenience Store,
Marathon Tri-State Petroleum #202,2699,Mosside Blvd,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Marathon Tri-State Petroleum #203,2022,Washington Pike,Carnegie,PA,15106,Heidelberg,Chain Retail/Convenience Store,
Marathon Tri-State Petroleum #219,3500,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,Chain Retail/Convenience Store,
Marathon Tri-State Petroleum #221,100,7th Avenue,Tarentum,PA,15084,Tarentum,Chain Retail/Convenience Store,
Marathon Tri-State Petroleum #222,2601,Freeport Road,Pittsburgh,PA,15238,Harmar,Chain Retail/Convenience Store,
Marathon Tri-State Petroleum #223,6680,Frankstown Avenue,Pittsburgh,PA,15235,Pittsburgh-112,Chain Retail/Convenience Store,
Marathon Tri-State Petroleum #224,4010,Penn Avenue,Pittsburgh,PA,15224,Pittsburgh-109,Chain Retail/Convenience Store,
Marco&#39;s,3019,Jacks Run Rd,Mc Keesport,PA,15131,White Oak,Restaurant with Liquor,
Margaret&#39;s Fine Imports,5872,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,Packaged Food Only,
Mariani Italian Ice #1,14,Ring Street,Rural Ridge,PA,15075,Indiana,Mobile,
Mariani Italian Ice #2,14,Ring Street,Rural Ridge,PA,15075,Indiana,Mobile,
Mariani&#39;s Italian Ice #3 Mobile,14,Ring  Street,Rural Ridge,PA,15075,Indiana,Mobile,
Mariani&#39;s Italian Ice #4 Mobile,14,Ring Street,Rural Ridge,PA,15075,Indiana,Mobile,
Marina Pub,314,Arch Street,Verona,PA,15147,Verona,Restaurant with Liquor,
Mario&#39;s Eastside Saloon,5442,Walnut Street,Pittsburgh,PA,15232,Pittsburgh-107,Restaurant with Liquor,
Mario&#39;s Italian Restaurant,935,Beaver Grade Road,Coraopolis,PA,15108,Moon,Restaurant with Liquor,
Mario&#39;s Pizza ,1000,Greentree Road,Pittsburgh,PA,15220,Greentree,Restaurant without Liquor,
Mario&#39;s Pizza ,600,Pgh-McKeesport  Boulevard,North Versailles,PA,15137,North Versailles,Restaurant without Liquor,
Mario&#39;s Southside Saloon/ Blue Lou&#39;s,1510,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Mark&#39;s Grille,2100,Wharton St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant without Liquor,
Mark&#39;s Hallmark,301,South Hills Village,Pittsburgh,PA,15241,Bethel Park,Chain Packaged Food Only,
Market District Bar / Giant Eagle #72,910,Freeport Road,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant with Liquor,
Market Fresh Meats,5,Foster  Avenue,Pittsburgh,PA,15205,Crafton,Retail/Convenience Store,
Market Outlet,1700,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Supermarket,
Market Outlet ,1809,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Retail/Convenience Store,
Market Street Grocery,435,Market Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Market Street Saloon,100,2nd Street,Elizabeth,PA,15037,Elizabeth Borough,Restaurant with Liquor,
Market on Broadway IGA / Las Palmas,1616,Broadway Ave,Pittsburgh,PA,15216,Pittsburgh-119,Chain Supermarket,
Market on Forbes IGA,3609,Forbes Ave / 2nd Fl,Pittsburgh,PA,15213,Pittsburgh-104,Supermarket,
Market on Middle ,2130,Middle  Road,Glenshaw,PA,15116,Indiana,Retail/Convenience Store,
Markham Elementary Cafeteria,165,Crescent Dr,Pittsburgh,PA,15228,Mt Lebanon,Satellite Kitchen,
Marriott City Center  Banquet Hall,112,Washington  Place,Pittsburgh,PA,15219,Pittsburgh-103,Banquet Hall,
Marriott City Center / Gift Shops,112,Washington  Place,Pittsburgh,PA,15219,Pittsburgh-103,Packaged Food Only,
Marriott City Center / Steelhead Brasserie &amp; Wine Bar,112,Washington  Place,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor,
Marriott City Center Pittsburgh / Starbucks #75873,112,Washington  Place,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant without Liquor,
Marroni&#39;s,1,Ohio River Boulevard,Leetsdale,PA,15056,Leetsdale,Restaurant with Liquor,
Marshall Elementary School Cafeteria,5135,Wexford Run Rd,Wexford,PA,15090,Marshall,Full Service Kitchen,
Marshall Middle School Cafeteria,5145,Wexford Run Rd,Wexford,PA,15090,Marshall,Full Service Kitchen,
Marshall&#39;s #1091,9931,Mountain View Drive,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only,
Marshall&#39;s #237,1900,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Packaged Food Only,
Marshall&#39;s #324,954,Freeport Rd,Pittsburgh,PA,15238,Pittsburgh-112,Chain Packaged Food Only,
Marshall&#39;s #467,4166,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Marshall&#39;s #562,1200,Park Manor Boulevard,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only,
Marshall&#39;s #623,2208,Northway Mall,Pittsburgh,PA,15238,Ross,Chain Packaged Food Only,
Marshall&#39;s #779,460,E Waterfront Dr,Homestead,PA,15120,Homestead,Chain Packaged Food Only,
Marshall&#39;s Exxon,1520,Spring Garden Ave,Pittsburgh,PA,15212,Pittsburgh-124,Chain Retail/Convenience Store,
Marshall&#39;s Lounge,1254,Brookline Blvd.,Pittsburgh,PA,15226,Pittsburgh-119,Restaurant with Liquor,
Martini ,&nbsp;,Pgh Intl Airport / AC-28,Pittsburgh,PA,15231,Findlay,Chain Restaurant without Liquor,
Maruti Convience ,1100,Fawcett Avenue,Mc Keesport,PA,15131,White Oak,Retail/Convenience Store,
Marva Jo&#39;s Sea &amp; Soul Food,320,5th Ave,Mc Keesport,PA,15132,McKeesport,Restaurant without Liquor,
Mary Anne&#39;s,1460,Island Ave,Mc Kees Rocks,PA,15136,Stowe,Restaurant without Liquor,
Mary Jo&#39;s Pizzeria,129,Leneke St,Turtle Creek,PA,15145,Wilkins,Restaurant without Liquor,
Mary of Nazareth Catholic School Cafeteria,1640,Fawcett Ave,Mc Keesport,PA,15131,White Oak,Full Service Kitchen,
Mary&#39;s &amp; Rick&#39;s,200,3rd Street,Carnegie,PA,15106,Carnegie,Retail/Convenience Store,
Mary&#39;s Chuck Wagon,4282,Clendenning  Road,Gibsonia,PA,15044,West Deer,Caterer,
Mary&#39;s Chuck Wagon / Mobile,4282,Clendenning  Road,Gibsonia,PA,15044,West Deer,Mobile,
Marzolf Elementary,101,Marzolf Rd,Pittsburgh,PA,15209,Shaler,Satellite Kitchen,
Mascari&#39;s Duncan Manor Exxon / Staks,1700,Ferguson Rd,Allison Park,PA,15101,McCandless,Chain Retail/Convenience Store,
Mascaro&#39;s Catering,4727,Verona Road,Verona,PA,15147,Penn Hills,Caterer,
Masco&#39;s Vehicle #1,451,Cecil Henderson Rd / Box 261,Cecil,PA,15321,Out Of County,Mobile,
Mash Mini Mart ,4341,Old Wm Penn  Highway,Monroeville,PA,15146,Monroeville,Retail/Convenience Store,
Masonic Village Country Kitchen,1000,Masonic Drive,Sewickley,PA,15143,Aleppo,Nursing Home/Personal Care Snack Bar,
Masonic Village Independnt Living Clubhouse &amp; Grill Room,1000,Masonic  Drive,Sewickley,PA,15143,Aleppo,Adult Food Service,
Masonic Village at Sewickley Child Care Center,1000,Masonic Dr,Sewickley,PA,15143,Aleppo,Child Food Service,
Massart&#39;s Restaurant,310,6th Avenue,Tarentum,PA,15084,Tarentum,Restaurant without Liquor,
Mastro Ice,835,Herron Ave,Pittsburgh,PA,15219,Pittsburgh-105,Refrigerated Warehouse,
Matt&#39;s Sub Shack &amp; Pizza,713,Little Deer Creek Valley  Road,Russellton,PA,15076,West Deer,Restaurant with Liquor,
Matteo&#39;s,3615,Butler Street,Pittsburgh,PA,15201,Pittsburgh-106,Restaurant with Liquor,
Mauro&#39;s Exxon,7409,Saltsburg Rd,Pittsburgh,PA,15235,Penn Hills,Chain Retail/Convenience Store,
Max &amp; Erma&#39;s #333054,936,Sheraton Drive,Mars,PA,16046,Marshall,Chain Restaurant with Liquor,
Max &amp; Erma&#39;s #333061,130,Andrew Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor,
Max &amp; Erma&#39;s #333072,2740,Mosside  Boulevard,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor,
Max N Odi&#39;s,500,Monongahela Ave,Glassport,PA,15045,Glassport,Restaurant with Liquor,
Max&#39;s Allegheny Tavern,537,Suismon St,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor,
Max&#39;s Subs,495,Taft  Avenue,West Mifflin,PA,15122,West Mifflin,Restaurant without Liquor,
Maxime&#39;s Mediterranean,937,Beaver Grade Rd,Coraopolis,PA,15108,Moon,Restaurant without Liquor,
Maxwell&#39;s Pub,519,Brownsville Rd,Pittsburgh,PA,15210,Mt Oliver,Restaurant with Liquor,
Mayorga Coffee,&nbsp;,Pgh Intl Airport / AC-19,Pittsburgh,PA,15231,Findlay,Chain Restaurant without Liquor,
McAnnulty Elementary School,5151,McAnnulty Rd,Pittsburgh,PA,15236,Whitehall,Full Service Kitchen,
McArdle Tavern,1600,Bingham St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
McClaren&#39;s,2000,Whitaker Way,Homestead,PA,15120,Munhall,Restaurant with Liquor,
McClellan Elementary School,360,School Lane,Pittsburgh,PA,15236,Pleasant Hills,Satellite Kitchen,
McClure Middle School,500,Longvue Rd,Mc Keesport,PA,15131,White Oak,Full Service Kitchen,
McCormick &amp; Schmick&#39;s Seafood Restaurant,2667,Sidney St,Pittsburgh,PA,15203,Pittsburgh-116,Chain Restaurant with Liquor,
McCormick &amp; Schmick&#39;s Seafood Restaurant,301,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor,
McCormick Elementary School,2801,Beaver Grade Rd,Coraopolis,PA,15108,Moon,Full Service Kitchen,
McCoy&#39;s Pub &amp; Grille,5027,Curry Rd,Pittsburgh,PA,15236,Baldwin Boro,Restaurant with Liquor,
McDonald&#39;s,801,Allegheny Avenue,Pittsburgh,PA,15233,Pittsburgh-121,Chain Restaurant without Liquor,
McDonald&#39;s,4214,Brownsville Rd,Pittsburgh,PA,15227,Brentwood,Chain Restaurant without Liquor,
McDonald&#39;s,1865,New Texas  Road,Pittsburgh,PA,15239,Plum,Chain Restaurant without Liquor,
McDonald&#39;s,7277,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Chain Restaurant without Liquor,
McDonald&#39;s,2251,Century Dr / Century Square Mall,West Mifflin,PA,15122,West Mifflin,Chain Restaurant without Liquor,
McDonald&#39;s,2090,Lebanon Church Rd,West Mifflin,PA,15122,West Mifflin,Chain Restaurant without Liquor,
McDonald&#39;s ,500,Liberty  Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor,
McDonald&#39;s ,505,Smithfield Street,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant without Liquor,
McDonald&#39;s ,1630,Penn Ave,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor,
McDonald&#39;s ,1,Poplar Street,Pittsburgh,PA,15205,Greentree,Chain Restaurant without Liquor,
McDonald&#39;s  #4121,4317,Northern  Pike,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor,
McDonald&#39;s #1,4849,McKnight Road,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor,
McDonald&#39;s #10260,6361,Penn Ave,Pittsburgh,PA,15206,Pittsburgh-112,Chain Restaurant without Liquor,
McDonald&#39;s #1102,225,Mt Lebanon  Boulevard,Pittsburgh,PA,15234,Castle Shannon,Chain Restaurant without Liquor,
McDonald&#39;s #12182,&nbsp;,Pgh Int&#39;l Airport / AC-02E,Pittsburgh,PA,15231,Findlay,Chain Restaurant without Liquor,
McDonald&#39;s #12183,&nbsp;,Pgh Int&#39;l Airport / SE-09A,Pittsburgh,PA,15231,Findlay,Chain Restaurant without Liquor,
McDonald&#39;s #12415,70,Allegheny River Boulevard,Verona,PA,15147,Verona,Chain Restaurant without Liquor,
McDonald&#39;s #1450,608,Wood Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor,
McDonald&#39;s #14951,300,Market Place Drive,Oakdale,PA,15071,North Fayette,Chain Restaurant without Liquor,
McDonald&#39;s #16068,250,Summit Park Drive,Pittsburgh,PA,15275,North Fayette,Restaurant without Liquor,
McDonald&#39;s #1741,3760,Wm Penn Highway,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor,
McDonald&#39;s #18474,600,Pine Hollow Rd,Mc Kees Rocks,PA,15136,Kennedy,Chain Restaurant without Liquor,
McDonald&#39;s #1862,3708,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor,
