Name,St.No.,Street Name,City,State,Zip,Municipality,Category,
Acmetonia School Cafeteria,300,Pearl Avenue,Cheswick,PA,15024,Harmar,Full Service Kitchen,
Acord Park Snack Bar,498,Camp Horne Rd,Pittsburgh,PA,15237,Kilbuck,Pool Snack Bar/No Liquor,
Acorn Club,7535,Roslyn St,Pittsburgh,PA,15218,Swissvale,Restaurant with Liquor,
Acquasonta,3909,Clairton  Boulevard,Pittsburgh,PA,15227,Brentwood,Caterer,
Acropolis Gyro House &amp; Grille,630,Allegheny River  Boulevard,Verona,PA,15147,Verona,Restaurant without Liquor,
Adat Shalom Synagogue,368,Guys Run Road,Cheswick,PA,15024,Indiana,Church Kitchen,
Adelphoi Academy @ Holy Spirit Parish,608,Farragut  Street,Pittsburgh,PA,15209,Millvale,Satellite Kitchen,
Aden Market,1318,Federal  Street,Pittsburgh,PA,15212,Pittsburgh-122,Retail/Convenience Store,
Adesso Cafe,441 1/2,Walnut Street,Sewickley,PA,15143,Sewickley,Restaurant without Liquor,
Admiral&#39;s Club,&nbsp;,Pgh Intl Airport / AC-M,Pittsburgh,PA,15231,Findlay,Chain Restaurant with Liquor,
Adolfo&#39;s Restaurant ,4770,Liberty  Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant without Liquor,
Adrian&#39;s Pizza,2562,Brandt School Rd,Wexford,PA,15090,Franklin Park,Restaurant without Liquor,
Adrian&#39;s Pizza,605,Thompson Run Road,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor,
Adrian&#39;s Pizza,4092,Gibsonia  Road,Gibsonia,PA,15044,Richland,Restaurant with Liquor,
Adrian&#39;s Pizza Express,7824,Perry Hwy,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor,
Adzema Pharmacy / Lunch Counter,8105,Perry  Highway,Pittsburgh,PA,15237,McCandless,Restaurant without Liquor,
Afamia,663,Washington Road,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor,
African Taste Cuisine,250,Pacific Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Transient Caterer,
Aicha&#39;s Store ,507,Bessemer  Avenue,East Pittsburgh,PA,15112,East Pittsburgh,Packaged Food Only,
Aiello&#39;s Pizza,2112,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant with Liquor,
Airport Ice Arena,330,Hookstown Grade  Road,Coraopolis,PA,15108,Moon,Ice Arena,
Ak Schwartz Super Market,1901,5th Ave,Pittsburgh,PA,15219,Pittsburgh-103,Retail/Convenience Store,
Akusuka ,250,Pacific Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Transient Caterer,
Al&#39;s Bone Broth,222,3rd Avenue,Carnegie,PA,15106,Carnegie,Food Processor,
Al&#39;s Cafe,435,McMurray Rd,Bethel Park,PA,15102,Bethel Park,Restaurant with Liquor,
Al&#39;s Cone Zone,1211,State Route 885,Clairton,PA,15025,Jefferson,Restaurant without Liquor,
Al&#39;s Fish &amp; Chicken,1021,Duquesne  Boulevard,Duquesne,PA,15110,Duquesne,Restaurant without Liquor,
Al&#39;s Fish &amp; Chicken,1000,Penn Avenue,Pittsburgh,PA,15221,Wilkinsburg,Restaurant without Liquor,
Al&#39;s Market,24,Braddock Ave,Braddock,PA,15104,Braddock,Retail/Convenience Store,
Aladdin&#39;s Eatery,5878,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant with Liquor,
Aladdin&#39;s Eatery,929,Freeport Road,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant without Liquor,
Aladdin&#39;s Eatery,4885,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor,
Aladdin&#39;s Eatery #17,630,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant with Liquor,
Alber &amp; Leff Foods Co,3115,Washington Pike,Bridgeville,PA,15017,South Fayette,Refrigerated Warehouse,
Albert F Baker School Cafeteria,2300,Morton Rd,Pittsburgh,PA,15241,Upper St Clair,Full Service Kitchen,
Albert&#39;s Lounge,2856,Broadway  Avenue,Pittsburgh,PA,15216,Dormont,Restaurant with Liquor,
Alberta&#39;s Pizza,2312,Main St,Pittsburgh,PA,15215,Sharpsburg,Transient Caterer,
Aldi,5200,Penn Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Chain Packaged Food Only,
Aldi,100,Aldi Dr,North Versailles,PA,15137,North Versailles,Chain Packaged Food Only,
Aldi #45,880,Butler St,Pittsburgh,PA,15223,Shaler,Chain Packaged Food Only,
Aldi #46,1766,Golden Mile Hwy,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Aldi #47,239,Clairton Boulevard,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only,
Aldi #52,100,Costco Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only,
Aldi #53,5159,Library  Road,Bethel Park,PA,15102,Bethel Park,Chain Packaged Food Only,
Aldi #54,16,Federal Dr,Pittsburgh,PA,15235,Penn Hills,Chain Packaged Food Only,
Aldi #56,2348,Ardmore Blvd,Pittsburgh,PA,15221,Forest Hills,Chain Supermarket,
