B P O E / Elks Club Oakmont #1668,106,Washington Avenue,Oakmont,PA,15139,Oakmont,Restaurant with Liquor,
B P O E / Elks Club Wilkinsburg #577,718,Brown Ave,Turtle Creek,PA,15145,Wilkins,Restaurant with Liquor,
BD&#39;s Mongolian Grill,428,27th Street,Pittsburgh,PA,15203,Pittsburgh-116,Chain Restaurant with Liquor,
BJ&quot;s Restaurant &amp; Brew House #590,1819,Washington Rd,Pittsburgh,PA,15241,Upper St Clair,Chain Restaurant with Liquor,
BJ&#39;s Restaurant &amp; Brewhouse,8970,Covenant Avenue,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor,
BRGR,1500,Washington  Road,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant with Liquor,
Bado&#39;s Pizza &amp; Deli,307,Beverly Rd,Pittsburgh,PA,15216,Mt Lebanon,Restaurant with Liquor,
Bahama Breeze #3041,6100,Robinson Center  Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Bakersfield ,940,Penn  Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor,
Bakn,335,Main Street,Carnegie,PA,15106,Carnegie,Restaurant with Liquor,
Baldwin Backdraft,3049,Churchview Ave,Pittsburgh,PA,15227,Baldwin Boro,Restaurant with Liquor,
Baltimore Crab House,176,Curry Hollow Rd,Pittsburgh,PA,15236,Pleasant Hills,Restaurant with Liquor,
Balwem Connolly Club,48,Greenway Drive,Pittsburgh,PA,15204,Pittsburgh-120,Restaurant with Liquor,
Bangkok Balcony,5846,Forbes Ave / 2nd Fl,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant with Liquor,
Bar 11,1101,Bradish Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Bar 48  Bar &amp; Grille,101,Simpson Howell Road,Elizabeth,PA,15037,Elizabeth Township,Restaurant with Liquor,
Bar Louie,244,Bridge  Street,Homestead,PA,15120,Homestead,Chain Restaurant with Liquor,
Bar Louie ,240,Station Square Dr / Bessemer,Pittsburgh,PA,15219,Pittsburgh-119,Chain Restaurant with Liquor,
Bar Louie #1601,330,Shore  Drive,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor,
Bar Marco @ the Firehouse,2216,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Bar Symon,&nbsp;,Pgh Intl Airport / AC-17,Pittsburgh,PA,15231,Findlay,Chain Restaurant with Liquor,
Bar on Brown,635,Brown Avenue,Turtle Creek,PA,15145,Wilkins,Restaurant with Liquor,
Barb&#39;s Country Kitchen,4711,Butler St,Pittsburgh,PA,15201,Pittsburgh-109,Restaurant with Liquor,
Barker&#39;s Frosted Mug,1608,Pittsburgh Street,Cheswick,PA,15024,Cheswick,Restaurant with Liquor,
Barley,319,6th Avenue,Tarentum,PA,15084,Tarentum,Restaurant with Liquor,
Barrel Junction,3108,Wm Flynn Highway,Allison Park,PA,15101,Shaler,Chain Restaurant with Liquor,
Barrel Junction,5560,William Flynn Highway,Gibsonia,PA,15044,Richland,Restaurant with Liquor,
Barto&#39;s Bar,859/861,5th Ave,Coraopolis,PA,15108,Coraopolis,Restaurant with Liquor,
Beadling Sports Club,675,Painters Run Rd,Pittsburgh,PA,15228,Upper St Clair,Restaurant with Liquor,
Bears Inn,710,Hite Road,Harwick,PA,15049,Springdale Township,Restaurant with Liquor,
Becker&#39;s Cafe,315,Olivia St,Mc Kees Rocks,PA,15136,McKees Rocks,Restaurant with Liquor,
Bedrock Cafe,604,Hampshire Ave,Pittsburgh,PA,15216,Pittsburgh-119,Restaurant with Liquor,
Bee&#39;z Bistro &amp; Pub,3249,Washington Pike Suite #1004,Bridgeville,PA,15017,South Fayette,Restaurant with Liquor,
Beehive Coffeehouse / Rowdy Buck,1323,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Beemer&#39;s,600,5th  Avenue,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor,
Beer Belly&#39;s,235,5th St,West Elizabeth,PA,15088,West Elizabeth,Restaurant with Liquor,
Beer Lime &amp; Sunshine,411,Wood Street,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant with Liquor,
Beerhead Bar Beer Market ,110,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor,
Bella Frutteto,2602,Brandt School Road,Wexford,PA,15090,Franklin Park,Restaurant with Liquor,
Bella Luna Trattoria,5060,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Restaurant with Liquor,
Bella Notte,1914,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Bella Vista,1204,Grandview Ave,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor,
Bellisario&#39;s Restaurant,1710,Duncan Ave,Allison Park,PA,15101,McCandless,Restaurant with Liquor,
Benihana,2100,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Restaurant with Liquor,
Benjamin&#39;s Western Avenue Burger Bar,900,Western Avenue,Pittsburgh,PA,15233,Pittsburgh-122,Restaurant with Liquor,
Berkey&#39;s Tavern,706,Ambridge Ave,Ambridge,PA,15003,Bell Acres,Restaurant with Liquor,
Big Dogs ,1435,Freeport Road,Cheswick,PA,15024,Harmar,Restaurant with Liquor,
Big Jim&#39;s,201,Saline St,Pittsburgh,PA,15207,Pittsburgh-115,Restaurant with Liquor,
Big Mike&#39;s Tavern,396,Butler Street,Pittsburgh,PA,15223,Etna,Restaurant with Liquor,
Bigham Tavern,321,Bigham St,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor,
Bill Buda&#39;s Bar &amp; Grill,3087,5th Ave Ext,Mc Keesport,PA,15132,North Versailles,Restaurant with Liquor,
Bill&#39;s Bar &amp; Burger,1001,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
