\1817 McKees Rocks Rd, McKees Rocks, PA 15136, USA\,40.4688035,-80.0980401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2783 South Park Rd, Bethel Park, PA 15102, USA\,40.3276615,-80.0346682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2740 Stroschein Rd, Monroeville, PA 15146, USA\,40.4379308,-79.7689553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\418 Moon Clinton Rd, Moon, PA 15108, USA\,40.5094678,-80.2394506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2895 W Liberty Ave, Pittsburgh, PA 15216, USA\,40.3948467,-80.0342585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1050 Village Center Dr, Tarentum, PA 15084, USA\,40.5671888,-79.8027979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2101 Greentree Rd, Pittsburgh, PA 15220, USA\,40.3905672,-80.0724608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4801 McKnight Rd, Pittsburgh, PA 15237, USA\,40.522828,-80.006531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1601 S Braddock Ave, Pittsburgh, PA 15218, USA\,40.4263385,-79.8889429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2045 Lebanon Church Rd, West Mifflin, PA 15122, USA\,40.3486124,-79.9481085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\6570 Steubenville Pike, Pittsburgh, PA 15205, USA\,40.4483419,-80.1572174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4606 Penn Ave, Pittsburgh, PA 15224, USA\,40.4656355,-79.9493238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2328 E Carson St, Pittsburgh, PA 15203, USA\,40.4280178,-79.9718039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1257 Argonne Dr, Natrona Heights, PA 15065, USA\,40.610179,-79.732684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4755 Liberty Ave, Pittsburgh, PA 15224, USA\,40.4614563,-79.9481743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1707 Babcock Blvd, Pittsburgh, PA 15209, USA\,40.5005313,-79.9810772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3337 Penn Ave, Pittsburgh, PA 15201, USA\,40.4624,-79.9678787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2852 Penn Ave, Pittsburgh, PA 15222, USA\,40.4576367,-79.9741413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\10 Old Clairton Rd, Pittsburgh, PA 15236, USA\,40.3398124,-79.9654559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\12980 Perry Hwy, Wexford, PA 15090, USA\,40.6426194,-80.0670089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
