Name	Address	Lat	Long
Bar Louie	244 Bridge  Street Homestead, PA 15120		
Bar Louie 	240 Station Square Dr / Bessemer Pittsburgh, PA 15219		
Bar Louie #1601	330 Shore  Drive Pittsburgh, PA 15212	40.4460877	-80.0103221
Bar Marco @ the Firehouse	2216 Penn Avenue Pittsburgh, PA 15222	40.4524729	-79.9815138
Bar Symon	&nbsp; Pgh Intl Airport / AC-17 Pittsburgh, PA 15231		
Bar on Brown	635 Brown Avenue Turtle Creek, PA 15145	40.424985	-79.834987
Barb&#39;s Country Kitchen	4711 Butler St Pittsburgh, PA 15201	40.4745089	-79.9579076
Barker&#39;s Frosted Mug	1608 Pittsburgh Street Cheswick, PA 15024	40.5408969	-79.7971242
Barley	319 6th Avenue Tarentum, PA 15084	40.603055	-79.753322
Barrel Junction	3108 Wm Flynn Highway Allison Park, PA 15101		
Barrel Junction	5560 William Flynn Highway Gibsonia, PA 15044	40.6330641	-79.9395907
Barto&#39;s Bar	859/861 5th Ave Coraopolis, PA 15108	40.519017	-80.167558
Beadling Sports Club	675 Painters Run Rd Pittsburgh, PA 15228	40.361471	-80.069227
Bears Inn	710 Hite Road Harwick, PA 15049	40.5554775	-79.8083579
Becker&#39;s Cafe	315 Olivia St Mc Kees Rocks, PA 15136	40.4746521	-80.0571267
Bedrock Cafe	604 Hampshire Ave Pittsburgh, PA 15216	40.4107656	-80.0192513
Bee&#39;z Bistro &amp; Pub	3249 Washington Pike Suite #1004 Bridgeville, PA 15017	40.3406094	-80.1198224
Beehive Coffeehouse / Rowdy Buck	1323 E Carson St Pittsburgh, PA 15203	40.428815	-79.9843106
Beemer&#39;s	600 5th  Avenue Mc Keesport, PA 15132	40.3513734	-79.8594934
Beer Belly&#39;s	235 5th St West Elizabeth, PA 15088	40.2682285	-79.9041296
Beer Lime &amp; Sunshine	411 Wood Street Pittsburgh, PA 15222	40.4398239	-80.0012038
Beerhead Bar Beer Market 	110 Federal Street Pittsburgh, PA 15212	40.4481082	-80.0038358
Bella Frutteto	2602 Brandt School Road Wexford, PA 15090	40.6155836	-80.0929885
Bella Luna Trattoria	5060 Wm Penn Hwy Monroeville, PA 15146		
Bella Notte	1914 Penn Avenue Pittsburgh, PA 15222	40.4508598	-79.9839287
Bella Vista	1204 Grandview Ave Pittsburgh, PA 15211	40.4379769	-80.0183123
Bellisario&#39;s Restaurant	1710 Duncan Ave Allison Park, PA 15101	40.5661986	-79.9982161
Benihana	2100 Greentree Road Pittsburgh, PA 15220	40.3921909	-80.0702556
Benjamin&#39;s Western Avenue Burger Bar	900 Western Avenue Pittsburgh, PA 15233	40.4520989	-80.016762
Berkey&#39;s Tavern	706 Ambridge Ave Ambridge, PA 15003	40.5887414	-80.2035218
Big Dogs 	1435 Freeport Road Cheswick, PA 15024	40.541057	-79.8078441
Big Jim&#39;s	201 Saline St Pittsburgh, PA 15207	40.4271297	-79.9495967
Big Mike&#39;s Tavern	396 Butler Street Pittsburgh, PA 15223	40.4977004	-79.9438702
Bigham Tavern	321 Bigham St Pittsburgh, PA 15211	40.4323916	-80.0150504
Bill Buda&#39;s Bar &amp; Grill	3087 5th Ave Ext Mc Keesport, PA 15132		
Bill&#39;s Bar &amp; Burger	1001 Liberty Avenue Pittsburgh, PA 15222	40.4442087	-79.9946687
Billy Kay&#39;s	701 Railroad Street Verona, PA 15147	40.505058	-79.8439609
